time,milliseconds,measurement,value,field,type,host,device,platform
15:46:33:519,16294,IMU,-235,gz,gyration,Name,Device1,Android
15:46:33:544,16319,IMU,2638,mx,magnet,Name,Device1,Android
15:46:33:544,16319,IMU,-6419,my,magnet,Name,Device1,Android
15:46:33:544,16319,IMU,3051,mz,magnet,Name,Device1,Android
15:46:33:564,16339,sensor,607,a0,adc,Name,Device1,Android
15:46:33:587,16362,IMU,-1077,ax,acceleration,Name,Device1,Android
15:46:33:587,16362,IMU,1300,ay,acceleration,Name,Device1,Android
15:46:33:587,16362,IMU,372,az,acceleration,Name,Device1,Android
15:46:33:609,16384,IMU,49,gx,gyration,Name,Device1,Android
15:46:33:609,16384,IMU,-75,gy,gyration,Name,Device1,Android
15:46:33:609,16384,IMU,-78,gz,gyration,Name,Device1,Android
15:46:33:631,16407,IMU,3018,mx,magnet,Name,Device1,Android
15:46:33:631,16407,IMU,-6429,my,magnet,Name,Device1,Android
15:46:33:631,16407,IMU,3231,mz,magnet,Name,Device1,Android
15:46:33:655,16430,sensor,1179,a0,adc,Name,Device1,Android
15:46:33:657,16432,sensor,67.59190659,v,velocity,Name,Device1,Android
15:46:33:677,16452,IMU,-584,ax,acceleration,Name,Device1,Android
15:46:33:677,16452,IMU,1286,ay,acceleration,Name,Device1,Android
15:46:33:677,16452,IMU,198,az,acceleration,Name,Device1,Android
15:46:33:700,16475,IMU,-25,gx,gyration,Name,Device1,Android
15:46:33:700,16475,IMU,-18,gy,gyration,Name,Device1,Android
15:46:33:700,16475,IMU,65,gz,gyration,Name,Device1,Android
15:46:33:722,16497,IMU,2961,mx,magnet,Name,Device1,Android
15:46:33:722,16497,IMU,-6398,my,magnet,Name,Device1,Android
15:46:33:722,16497,IMU,3286,mz,magnet,Name,Device1,Android
15:46:33:745,16520,sensor,992,a0,adc,Name,Device1,Android
15:46:33:769,16544,IMU,371,ax,acceleration,Name,Device1,Android
15:46:33:769,16544,IMU,1740,ay,acceleration,Name,Device1,Android
15:46:33:769,16544,IMU,-373,az,acceleration,Name,Device1,Android
15:46:33:790,16565,IMU,10,gx,gyration,Name,Device1,Android
15:46:33:790,16565,IMU,-41,gy,gyration,Name,Device1,Android
15:46:33:790,16565,IMU,122,gz,gyration,Name,Device1,Android
15:46:33:812,16587,IMU,2553,mx,magnet,Name,Device1,Android
15:46:33:812,16587,IMU,-6367,my,magnet,Name,Device1,Android
15:46:33:812,16587,IMU,3174,mz,magnet,Name,Device1,Android
15:46:33:835,16610,sensor,515,a0,adc,Name,Device1,Android
15:46:33:837,16612,sensor,58.06192201,v,velocity,Name,Device1,Android
15:46:33:857,16632,IMU,1959,ax,acceleration,Name,Device1,Android
15:46:33:857,16632,IMU,1959,ay,acceleration,Name,Device1,Android
15:46:33:857,16632,IMU,1793,az,acceleration,Name,Device1,Android
15:46:33:880,16655,IMU,-6,gx,gyration,Name,Device1,Android
15:46:33:880,16655,IMU,36,gy,gyration,Name,Device1,Android
15:46:33:880,16655,IMU,308,gz,gyration,Name,Device1,Android
15:46:33:913,16688,IMU,1937,mx,magnet,Name,Device1,Android
15:46:33:913,16688,IMU,-6292,my,magnet,Name,Device1,Android
15:46:33:913,16688,IMU,3290,mz,magnet,Name,Device1,Android
15:46:33:936,16711,sensor,265,a0,adc,Name,Device1,Android
15:46:33:958,16733,IMU,-773,ax,acceleration,Name,Device1,Android
15:46:33:958,16733,IMU,-79,ay,acceleration,Name,Device1,Android
15:46:33:958,16733,IMU,-888,az,acceleration,Name,Device1,Android
15:46:33:981,16756,IMU,120,gx,gyration,Name,Device1,Android
15:46:33:981,16756,IMU,-447,gy,gyration,Name,Device1,Android
15:46:33:981,16756,IMU,133,gz,gyration,Name,Device1,Android
15:46:34:2,16778,IMU,1207,mx,magnet,Name,Device1,Android
15:46:34:2,16778,IMU,-6024,my,magnet,Name,Device1,Android
15:46:34:2,16778,IMU,3420,mz,magnet,Name,Device1,Android
15:46:34:27,16802,sensor,238,a0,adc,Name,Device1,Android
15:46:34:56,16831,IMU,-1495,ax,acceleration,Name,Device1,Android
15:46:34:56,16831,IMU,612,ay,acceleration,Name,Device1,Android
15:46:34:56,16831,IMU,-642,az,acceleration,Name,Device1,Android
15:46:34:70,16846,IMU,-54,gx,gyration,Name,Device1,Android
15:46:34:70,16846,IMU,51,gy,gyration,Name,Device1,Android
15:46:34:70,16846,IMU,-76,gz,gyration,Name,Device1,Android
15:46:34:93,16868,IMU,1201,mx,magnet,Name,Device1,Android
15:46:34:93,16868,IMU,-6108,my,magnet,Name,Device1,Android
15:46:34:93,16868,IMU,3102,mz,magnet,Name,Device1,Android
15:46:34:116,16891,sensor,132,a0,adc,Name,Device1,Android
15:46:34:137,16912,IMU,117,ax,acceleration,Name,Device1,Android
15:46:34:137,16912,IMU,93,ay,acceleration,Name,Device1,Android
15:46:34:137,16912,IMU,234,az,acceleration,Name,Device1,Android
15:46:34:172,16947,IMU,16,gx,gyration,Name,Device1,Android
15:46:34:172,16947,IMU,95,gy,gyration,Name,Device1,Android
15:46:34:172,16947,IMU,-21,gz,gyration,Name,Device1,Android
15:46:34:195,16970,IMU,1214,mx,magnet,Name,Device1,Android
15:46:34:195,16970,IMU,-6106,my,magnet,Name,Device1,Android
15:46:34:195,16970,IMU,3025,mz,magnet,Name,Device1,Android
15:46:34:217,16992,sensor,120,a0,adc,Name,Device1,Android
15:46:34:240,17015,IMU,26,ax,acceleration,Name,Device1,Android
15:46:34:240,17015,IMU,-30,ay,acceleration,Name,Device1,Android
15:46:34:240,17015,IMU,138,az,acceleration,Name,Device1,Android
15:46:34:262,17037,IMU,16,gx,gyration,Name,Device1,Android
