time,milliseconds,measurement,value,field,type,host,device,platform
15:46:36:310,19085,sensor,99,a0,adc,Name,Device1,Android
15:46:36:332,19107,IMU,-44,ax,acceleration,Name,Device1,Android
15:46:36:332,19107,IMU,1117,ay,acceleration,Name,Device1,Android
15:46:36:332,19107,IMU,-392,az,acceleration,Name,Device1,Android
15:46:36:355,19130,IMU,-23,gx,gyration,Name,Device1,Android
15:46:36:355,19130,IMU,35,gy,gyration,Name,Device1,Android
15:46:36:355,19130,IMU,7,gz,gyration,Name,Device1,Android
15:46:36:377,19152,IMU,1353,mx,magnet,Name,Device1,Android
15:46:36:377,19152,IMU,-6065,my,magnet,Name,Device1,Android
15:46:36:377,19152,IMU,2863,mz,magnet,Name,Device1,Android
15:46:36:400,19175,sensor,152,a0,adc,Name,Device1,Android
15:46:36:422,19198,IMU,29,ax,acceleration,Name,Device1,Android
15:46:36:422,19198,IMU,1121,ay,acceleration,Name,Device1,Android
15:46:36:422,19198,IMU,-136,az,acceleration,Name,Device1,Android
15:46:36:445,19220,IMU,18,gx,gyration,Name,Device1,Android
15:46:36:445,19220,IMU,-36,gy,gyration,Name,Device1,Android
15:46:36:445,19220,IMU,-7,gz,gyration,Name,Device1,Android
